"GEOID","state","R","density_log","private","hincome","R_death","sensitivitydensity"
17167,"IL",2.124593901,4.475123476,9.137890708,6.0466,NA,TRUE
17177,"IL",2.833576535,3.48528293,9.000478698,4.8016,NA,FALSE
17181,"IL",1.733782481,2.811190876,9.34680518,4.9182,NA,TRUE
17187,"IL",1.607097105,2.534048364,8.765276553,4.9607,NA,TRUE
17195,"IL",1.031501905,3.496771486,9.363342069,5.3828,NA,TRUE
17197,"IL",2.502348288,5.744886439,9.005341877,8.3504,1.441509812,TRUE
17199,"IL",1.710992364,4.110541349,9.210231254,4.9053,NA,TRUE
17201,"IL",2.285189659,5.40299715,9.280360855,5.2743,NA,TRUE
18003,"IN",1.626887089,5.340993387,9.304289437,5.3402,1.291103225,TRUE
18005,"IN",2.276117601,4.288641897,9.350044309,5.9045,NA,FALSE
18011,"IN",1.743367415,3.945651576,9.19427118,8.0567,2.071754591,FALSE
18015,"IN",1.693545166,3.040058344,9.436341704,5.6429,NA,TRUE
18017,"IN",1.745594959,3.597392619,9.530653626,4.7545,NA,TRUE
18019,"IN",1.779079799,4.737498462,9.382367971,5.424,0.727838491,FALSE
18027,"IN",1.124803558,3.348185437,9.042016807,5.1032,0.742764531,TRUE
18029,"IN",1.389309394,4.14864253,9.393582931,6.5096,NA,FALSE
18031,"IN",1.081763547,3.283729225,9.468085106,5.4622,1.265405472,FALSE
18035,"IN",1.380725145,4.752416691,8.770702483,4.2705,1.939202393,TRUE
18039,"IN",1.469878501,5.104044404,9.247633549,5.5399,NA,TRUE
18043,"IN",2.230608683,5.27117626,9.375414577,6.1754,NA,TRUE
18047,"IN",1.609820112,3.143610387,9.36181868,5.8382,NA,FALSE
18049,"IN",0.958477457,3.083646537,9.320293927,4.9333,NA,TRUE
18053,"IN",1.627154751,4.17942338,8.746179519,4.2593,NA,FALSE
18055,"IN",1.392212736,3.16141865,9.696534902,4.9177,NA,TRUE
18057,"IN",2.728878312,5.5942754,9.016199889,9.4644,1.356810128,TRUE
18059,"IN",1.885357435,4.480988557,9.45883905,7.3142,NA,FALSE
18061,"IN",1.823081092,3.445804211,9.493583472,5.7132,NA,FALSE
18063,"IN",2.956879575,4.927325668,9.307076359,7.8355,1.764912139,FALSE
18067,"IN",2.027481249,4.69158463,9.425134799,5.0869,NA,FALSE
18071,"IN",1.651242641,3.469622967,9.474360241,4.9506,NA,TRUE
18079,"IN",1.383847026,3.375743502,9.450263782,4.9801,NA,TRUE
18081,"IN",2.73309499,5.125614149,9.356465631,6.8712,2.065617834,TRUE
18089,"IN",2.659433116,5.95015959,9.161331023,5.4249,1.275619558,TRUE
18091,"IN",1.812838204,4.275739641,9.224688355,5.1101,NA,FALSE
18093,"IN",1.49110939,3.680255082,9.525970503,5.2092,NA,TRUE
18095,"IN",2.137084259,4.722648209,9.280574242,4.7436,1.23968322,FALSE
18097,"IN",4.02777911,6.780092252,9.168268356,4.6692,2.309897889,TRUE
18105,"IN",1.189890511,4.905525685,8.206337928,4.7075,NA,FALSE
18109,"IN",1.27524436,4.187333093,9.457280866,6.2462,NA,FALSE
18111,"IN",1.505744192,2.616585934,9.451666667,5.3146,1.279043359,FALSE
18113,"IN",1.686918054,3.799378754,9.437859354,5.5033,2.533584435,FALSE
18127,"IN",1.455935744,5.022210212,9.156309812,6.8044,NA,TRUE
